Date Local,State,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
2011-01,California,56308.71798000005,95476.40000000052,44272,89328,48.880368000000054,81.02800000000073,32716,68632,2431.688630000001,5090.00000000003,25210,3402.0,1548.6447760000021,2828.623999999994,28222,13788.0
2011-01,Colorado,1705.3104119999996,3036.0,516,2896,0.7421679999999999,1.5439999999999996,624,1316,81.33033799999994,190.99999999999997,712,156.0,33.463848,61.800000000000026,546,306.0
2011-01,Connecticut,3420.654192000001,6464.0,2568,6120,5.791196000000003,7.431999999999985,2652,6304,742.1966320000004,1722.7999999999997,2882,1240.0,74.85091799999998,119.13999999999992,2116,582.0
2011-01,Country Of Mexico,1783.766956,3183.6000000000004,1252,3000,1.2095360000000002,2.1399999999999992,652,1812,74.59748,202.79999999999998,826,146.0,98.89813,200.84000000000006,802,926.0
2011-01,Delaware,2432.422272,4048.0,1140,3820,1.4990680000000007,2.4279999999999995,1172,2048,297.79474,561.1999999999998,1330,392.0,40.375090000000014,71.03199999999995,1106,356.0
2011-01,District Of Columbia,2565.615132000001,4412.0,1504,4184,2.1243160000000008,3.067999999999997,1236,2600,740.412644,991.4,1084,730.0,123.93199800000002,158.60000000000005,1146,848.0
2011-01,Florida,866.0238119999991,2144.0,1620,2020,3.4350000000000036,4.723999999999996,1188,4000,25.318032000000013,94.19999999999997,948,68.0,51.723506,67.19999999999995,728,360.0
2011-01,Georgia,2180.690479999999,3980.0,1452,3760,2.0095039999999984,3.3199999999999976,1236,2808,200.24923999999996,641.5999999999999,1434,516.0,44.195423999999974,72.21399999999997,1064,368.0
2011-01,Hawaii,2146.9992320000038,7040.0,4464,6704,15.259263999999948,19.58399999999999,4864,16592,384.8385480000005,1271.9999999999966,5360,1028.0,91.75080799999972,136.57600000000014,3504,624.0
2011-01,Idaho,877.4507319999999,1586.4,1072,1456,1.1330159999999991,2.1199999999999988,892,1800,63.98593799999999,154.00000000000006,1086,88.0,24.233087999999988,43.980000000000004,880,212.0
2011-01,Illinois,3684.841449999999,6044.0,2710,5704,3.9847560000000044,5.518000000000001,2174,4672,423.56122100000016,981.6999999999999,2263,770.0,76.787824,115.36000000000008,1974,604.0
2011-01,Iowa,1244.2852840000005,2341.599999999999,1148,2160,2.7983319999999994,3.412,1368,2900,58.13305599999999,178.99999999999994,1050,112.0,23.652213999999994,31.58599999999998,766,142.0
2011-01,Kansas,1984.942852,3536.0000000000027,1296,3284,1.6163279999999984,2.3799999999999977,1264,2012,318.33422000000013,957.7999999999996,1342,792.0,19.823022000000005,46.000000000000014,1050,214.0
2011-01,Louisiana,1787.9711160000002,3731.199999999999,1688,3464,2.6543280000000022,3.9200000000000004,1132,3316,420.8491920000001,1223.1999999999994,1680,990.0,30.26249,48.05999999999999,930,222.0
2011-01,Maine,1590.1743640000013,3274.3999999999996,2648,3052,5.765604000000001,7.355999999999995,2672,6240,428.4021860000001,841.3999999999997,2558,620.0,79.05406399999993,117.98999999999997,2240,604.0
2011-01,Maryland,2378.2173840000005,4208.0,1248,3972,1.9686199999999998,3.0919999999999965,1392,2624,465.2414680000001,903.6000000000005,1358,690.0,50.477412,97.19999999999996,1056,478.0
2011-01,Massachusetts,3301.1422239999997,5060.0,1344,4768,1.7157079999999987,2.647999999999998,1432,2240,474.93639199999984,946.4000000000001,1520,708.0,47.47915200000003,75.36999999999998,1354,394.0
2011-01,Minnesota,1303.976192,2820.0,1284,2660,2.820828000000001,3.6399999999999952,1392,3084,192.86370999999994,412.39999999999986,1532,290.0,30.35165199999998,44.56999999999996,1276,228.0
2011-01,Nevada,3699.9212080000007,5518.799999999997,1868,5176,1.3039959999999995,2.687999999999998,1236,2272,113.12712000000002,301.1999999999998,1442,200.0,67.88028200000001,127.06599999999999,1548,582.0
2011-01,New Jersey,2111.033332,3472.0,832,3280,1.072496000000001,1.8119999999999983,812,1532,340.0931720000001,712.4000000000001,1062,542.0,32.78572599999999,55.139999999999986,706,272.0
2011-01,New Mexico,2506.5645600000025,4889.999999999996,1380,4572,2.6880919999999997,4.095999999999997,1296,3476,74.09655799999999,210.4,1380,118.0,40.884502,85.39999999999996,1082,384.0
2011-01,New York,7567.568544000007,11400.799999999976,4456,10620,7.571795999999991,9.907999999999982,3772,8408,2619.1871120000005,4886.999999999998,4216,3602.0,139.91386199999982,205.71399999999986,3030,1020.0
2011-01,North Carolina,3983.010527999999,7192.0,2920,6784,3.741032000000003,6.127999999999995,2104,5184,344.6672759999995,866.7999999999993,2676,640.0,105.73066800000016,184.1640000000001,1960,948.0
2011-01,North Dakota,1030.3461079999997,2720.0,1308,2564,3.3590080000000015,3.9479999999999977,1236,3348,96.90419399999993,178.80000000000007,1310,86.0,23.161511999999995,29.617999999999977,904,136.0
2011-01,Ohio,5484.186968000013,8888.0,4340,8392,6.143367999999995,8.495999999999993,3984,7220,2007.731184000001,6235.400000000003,4586,5226.0,83.87399999999998,121.62400000000002,3318,608.0
2011-01,Oklahoma,2399.819988000002,4641.600000000003,3596,4268,6.324563999999998,8.859999999999996,2816,7544,313.59824200000025,826.4000000000005,3094,608.0,71.32915999999992,121.7100000000001,2232,582.0
2011-01,Oregon,1237.6890599999997,2204.0,1524,2088,1.2155119999999984,1.9399999999999986,1220,1644,129.502432,294.80000000000007,1168,194.0,60.873316,122.89400000000003,1016,618.0
2011-01,Pennsylvania,6288.867360000002,10031.599999999997,2784,9456,3.627007999999996,5.383999999999991,2572,4552,1123.7260840000008,1957.8000000000004,2910,1472.0,100.82213799999992,152.8659999999999,2164,796.0
2011-01,South Dakota,819.4393520000001,1845.2,904,1712,2.5783279999999995,2.987999999999999,870,2534,59.48100600000002,120.49999999999997,989,67.0,18.499939999999977,24.804000000000002,708,120.0
2011-01,Texas,14218.358279999966,27003.600000000028,11260,25116,15.810468000000022,24.83999999999997,8292,21064,826.1596480000006,2969.9999999999986,9386,2290.0,234.7299439999995,492.46600000000024,8016,2362.0
2011-01,Utah,4479.926775999998,5896.0,1708,5584,0.9929439999999994,2.151999999999996,1236,1820,163.45078600000002,242.79999999999993,1572,152.0,75.54949799999994,137.20000000000005,1174,622.0
2011-01,Wyoming,378.6959679999996,1523.2000000000005,1612,1408,4.719636000000002,5.379999999999997,1268,4568,22.960107999999984,57.20000000000002,1098,12.0,4.5502680000000035,11.204000000000002,958,44.0
2011-02,Arizona,6521.036828000004,12641.199999999983,4996,11860,7.231676000000006,13.419999999999998,3544,11364,231.06444399999972,576.4000000000002,4072,398.0,152.428578,294.126,3302,1394.0
2011-02,Arkansas,4752.879599999988,10428.800000000025,5824,9696,10.802015999999982,14.81599999999999,5104,12560,839.6888160000005,1239.2000000000035,4764,792.0,238.85112000000026,284.10800000000063,3480,1564.0
2011-02,California,42585.85255399988,83293.20000000013,38806,77854,67.81118799999996,104.23000000000091,31732,88376,1757.0616570000052,3992.8000000000125,22102,2710.0,1165.478984000005,2102.230000000001,24910,9983.0
2011-02,Colorado,2187.0705359999997,4376.0,980,4148,2.0626360000000012,3.720000000000001,1140,3152,76.01830399999996,325.0000000000001,868,296.0,28.998686,62.39999999999999,992,290.0
2011-02,Connecticut,3209.3640480000004,6248.0,2592,5952,6.324676000000004,7.955999999999991,2236,6744,566.0231760000001,1195.1999999999991,2652,852.0,61.92055799999996,95.55999999999996,1890,452.0
2011-02,Country Of Mexico,1395.0092440000003,2627.200000000001,804,2492,0.8740840000000003,1.6479999999999988,504,1396,76.00445000000002,206.99999999999991,624,156.0,58.745724,129.60000000000002,436,602.0
2011-02,Delaware,1217.463768,2320.0,888,2188,1.5029080000000004,2.1439999999999992,892,1808,175.173782,358.40000000000003,888,260.0,21.47508999999999,34.516000000000005,898,172.0
